symbol,date,side,price,pf_w
ISKJ,2010-11-15,BUY,12.378,0.08
ROSN,2010-11-15,SELL,218.5,0.04
SIBN,2010-11-15,BUY,128.3,0.316262166289396
ISKJ,2010-11-16,SELL,12.049,0.08
SIBN,2010-11-16,SELL,127.87,0.316262166289396
PIKK,2010-11-17,BUY,116,0.4
PIKK,2010-11-18,SELL,115.8,0.4
SBER,2010-11-18,BUY,99.66,0.04
SBERP,2010-11-18,BUY,71.4,0.556277074651061
GAZP,2010-11-19,BUY,172.2,0.4
ISKJ,2010-11-19,BUY,12.145,0.04
SBERP,2010-11-19,SELL,70.94,0.556277074651061
GAZP,2010-11-22,SELL,169.71,0.4
ISKJ,2010-11-22,SELL,12.05,0.04
SIBN,2010-11-22,SELL,126.69,0.04
SBER,2010-11-23,SELL,98.5,0.04
PIKK,2010-11-24,BUY,116.56,0.4
SBER,2010-11-24,BUY,101.31,0.04
SBERP,2010-11-24,BUY,72.36,0.556277074651061
GAZP,2010-11-25,BUY,172.6,0.4
PIKK,2010-11-26,SELL,118.2,0.4
SBERP,2010-11-26,SELL,73.95,0.556277074651061
GAZP,2010-11-29,SELL,173.03,0.4
SBER,2010-11-30,SELL,101.51,0.04
GAZP,2010-12-01,BUY,182.49,0.4
PIKK,2010-12-01,BUY,119.81,0.4
SBER,2010-12-01,BUY,103.34,0.04
SBERP,2010-12-01,BUY,75.22,0.556277074651061
SIBN,2010-12-01,BUY,127.6,0.356262166289396
SBERP,2010-12-02,SELL,75.2,0.556277074651061
ISKJ,2010-12-03,BUY,11.644,0.04
LKOH,2010-12-03,BUY,1812,0.04
ISKJ,2010-12-06,BUY,11.72,0.04
SBER,2010-12-06,BUY,105.56,0.544859175138705
SBERP,2010-12-06,BUY,75.5,0.556277074651061
SIBN,2010-12-06,SELL,130.65,0.316262166289396
GAZP,2010-12-07,SELL,192.95,0.4
PIKK,2010-12-07,SELL,125.35,0.4
SBERP,2010-12-07,SELL,75.47,0.556277074651061
SIBN,2010-12-07,BUY,134,0.316262166289396
ISKJ,2010-12-08,SELL,11.791,0.08
SIBN,2010-12-08,SELL,131.4,0.316262166289396
LKOH,2010-12-09,SELL,1785.23,0.04
ISKJ,2010-12-10,BUY,11.863,0.08
ROSN,2010-12-10,BUY,221.23,0.04
SBER,2010-12-10,SELL,104.92,0.584859175138705
GAZP,2010-12-13,BUY,195.8,0.4
PIKK,2010-12-13,BUY,129.65,0.4
SBER,2010-12-13,BUY,107.45,0.584859175138705
SBERP,2010-12-13,BUY,76.2,0.556277074651061
SIBN,2010-12-13,BUY,132.19,0.316262166289396
ISKJ,2010-12-14,SELL,11.873,0.08
SIBN,2010-12-14,SELL,130.5,0.356262166289396
GAZP,2010-12-15,SELL,195.56,0.4
PIKK,2010-12-15,SELL,131.83,0.4
SBERP,2010-12-15,SELL,76.68,0.556277074651061
SBERP,2010-12-16,BUY,77.29,0.556277074651061
ISKJ,2010-12-17,BUY,13,0.08
SBERP,2010-12-17,SELL,76.93,0.556277074651061
ISKJ,2010-12-20,SELL,12.902,0.08
PIKK,2010-12-20,BUY,133.76,0.4
ROSN,2010-12-20,SELL,220.1,0.04
SBER,2010-12-20,SELL,105.6,0.584859175138705
ISKJ,2010-12-21,BUY,13.35,0.08
SBERP,2010-12-21,BUY,78.35,0.556277074651061
GAZP,2010-12-22,BUY,197,0.4
